property_url,mls,mls_id,status,style,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,last_sold_date,lot_sqft,price_per_sqft,latitude,longitude,stories,hoa_fee,parking_garage,primary_photo
https://www.realtor.com/realestateandhomes-detail/1446019073,SEWA,2236794,FOR_SALE,PropertyType.SINGLE_FAMILY,225  225th Ave,,Sammamish,WA,98074,4,2,,3400,1994,0,2498000,2024-05-16,84000,1993-11-18,50094,735,47.611837,-122.040209,2,0,3,http://ap.rdcpix.com/230daafcd0b3a0515325d336ddf198cfl-m828855266od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/2979134353,SEWA,2237705,FOR_SALE,PropertyType.SINGLE_FAMILY,21505 NE 10th Pl,,Sammamish,WA,98074,3,1,1,2519,1989,0,1500000,2024-05-16,279000,2001-04-18,21375,595,47.618589,-122.053063,2,0,2,http://ap.rdcpix.com/65f56bc124c7a5e06b3ba60df302fd74l-m2353520358od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/1521509723,SEWA,2237958,FOR_SALE,PropertyType.SINGLE_FAMILY,22005 NE 1st St,,Sammamish,WA,98074,3,2,1,1640,1978,0,1100000,2024-05-16,235000,2004-07-02,23100,671,47.609354,-122.045865,2,0,2,http://ap.rdcpix.com/854995a00d1977048b771efb26049013l-m3431386356od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/2569705855,SEWA,2237611,FOR_SALE,PropertyType.SINGLE_FAMILY,255  245th Pl,,Sammamish,WA,98074,4,2,1,3256,2003,0,1900000,2024-05-16,463270,2004-02-23,8719,584,47.610588,-122.013317,2,50,3,http://ap.rdcpix.com/e8c873d6977207ed49af3cf7961707f5l-m2400815793od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/2198342698,SEWA,2231701,FOR_SALE,PropertyType.SINGLE_FAMILY,421  210th Ave,,Sammamish,WA,98074,3,2,1,3227,1988,0,1750000,2024-05-16,22500,1984-05-16,10720,542,47.613457,-122.060208,1,0,2,http://ap.rdcpix.com/0333a60effa712bc98f1e0d9f9652e4cl-m1971445362od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/2139266549,SEWA,2236741,FOR_SALE,PropertyType.SINGLE_FAMILY,4325  202nd Ave,,Sammamish,WA,98074,4,1,1,2210,1986,0,1550000,2024-05-16,880000,2019-04-18,8616,701,47.648401,-122.069434,3,11,2,http://ap.rdcpix.com/d85a37e49153fcbaf684888993f298b3l-m54933045od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/1221993897,SEWA,2238411,FOR_SALE,PropertyType.SINGLE_FAMILY,23032 NE 18th St,,Sammamish,WA,98074,3,2,1,2110,1991,0,1470000,2024-05-16,360000,2002-10-09,8481,697,47.625794,-122.031074,2,40,3,http://ap.rdcpix.com/96685a26d0624b69707a462c38570802l-m812183618od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/2256279347,SEWA,2238066,FOR_SALE,PropertyType.SINGLE_FAMILY,20420 SE 8th St,,Sammamish,WA,98074,,,,,,0,949000,2024-05-16,802000,2022-02-17,54450,,47.602735,-122.06722,,0,,http://ap.rdcpix.com/0b8a5385ca33a39389f75e5e415370c8l-m730495000od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/1503612808,SEWA,2236055,FOR_SALE,PropertyType.SINGLE_FAMILY,420  222nd Ave,,Sammamish,WA,98074,3,2,,2085,1908,0,1200000,2024-05-16,449000,2009-08-03,14231,576,47.614017,-122.043286,2,0,1,http://ap.rdcpix.com/2facf352e121d95f8f3d45d14cd9a066l-m926042832od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/2242605191,SEWA,2238009,FOR_SALE,PropertyType.SINGLE_FAMILY,20519 NE 24th Pl,,Sammamish,WA,98074,5,2,1,5240,2001,1,2650000,2024-05-15,619800,2001-10-26,12406,506,47.631254,-122.063071,2,67,2,http://ap.rdcpix.com/e88d09b4efe896fc349655c66538ab2dl-m85775345od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/9562719137,TB1B,268157,FOR_SALE,PropertyType.SINGLE_FAMILY,1733  244th Pl,,Sammamish,WA,98074,5,3,,2873,,1,2599995,2024-05-15,,,,905,47.625301835164585,-122.01343004665905,2,,2,http://nh.rdcpix.com/2ca4793563c1802682aa089ba65b54c4l-f77526649od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/2655579884,SEWA,2235690,FOR_SALE,PropertyType.SINGLE_FAMILY,5002  190th Pl,,Sammamish,WA,98074,5,2,2,3492,1992,6,3188000,2024-05-10,820000,2012-08-14,19036,913,47.653231,-122.085845,2,25,3,http://ap.rdcpix.com/5bbf77cb09c251ab8e46e72a560557c3l-m2992513312od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/1309322489,SEWA,2234539,FOR_SALE,PropertyType.SINGLE_FAMILY,24040 NE 14th St,,Sammamish,WA,98074,4,3,,2960,2018,6,1950000,2024-05-10,1150995,2019-04-26,4794,659,47.622336,-122.018617,2,80,2,http://ap.rdcpix.com/77d73704dbae28cfee43ae4bbfa09ecdl-b2648971508od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/1155718604,SEWA,2235667,FOR_SALE,PropertyType.SINGLE_FAMILY,935  207th Pl,,Sammamish,WA,98074,4,1,,2160,1979,7,1379950,2024-05-09,750000,2019-07-10,7500,639,47.618818,-122.064204,1,0,2,http://ap.rdcpix.com/1e49ec99567d0a0efa8b6fb49cb4035cl-m1333961547od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/1647943620,SEWA,2234630,FOR_SALE,PropertyType.SINGLE_FAMILY,22606 NE 14th Dr,,Sammamish,WA,98074,3,2,,1540,1983,7,1275000,2024-05-09,630000,2017-10-10,12532,828,47.621506,-122.037634,3,0,2,http://ap.rdcpix.com/2c2af0f049f0023d77b0aa7482c6a2ccl-m3221735826od-w480_h360_x2.webp?w=1080&q=75
