property_url,mls,mls_id,status,style,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,last_sold_date,lot_sqft,price_per_sqft,latitude,longitude,stories,hoa_fee,parking_garage,primary_photo
https://www.realtor.com/realestateandhomes-detail/2552897754,SJCA,ML81964679,FOR_SALE,PropertyType.SINGLE_FAMILY,4657  Tango Way,,San Jose,CA,95111,3,2,,1137,1958,8,1049000,2024-05-08,,,6098,923,37.277305,-121.815922,1,0,2,http://ap.rdcpix.com/c4a86a6d2b9d791177f54c938a62ba9cl-m1803973033od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/1357873106,SJCA,ML81964674,FOR_SALE,PropertyType.SINGLE_FAMILY,6513  Bose Ct,,San Jose,CA,95120,4,2,1,1940,1965,8,2496000,2024-05-08,1375000,2017-07-26,10585,1287,37.219966,-121.867916,1,0,2,http://ap.rdcpix.com/5ef3f88175b43051a617a1e139dfaa3bl-m823767719od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/9691933552,PULB,1126916,FOR_SALE,PropertyType.CONDOS,603  Redberry Way,,San Jose,CA,95117,3,3,,2179,,8,1852200,2024-05-08,,,,850,37.317779,-121.953816,4,,2,http://nh.rdcpix.com/2088baa8ecff6a94c6b7cd5a2afe8914l-f2664194620od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/2484975239,SCCA,224048103,FOR_SALE,PropertyType.SINGLE_FAMILY,223  Edwards Ave,,San Jose,CA,95110,2,1,,960,1924,9,915000,2024-05-07,405000,2013-10-02,4012,953,37.319705,-121.883413,1,0,1,http://ap.rdcpix.com/b7cb8c49abd17e90dc4d2c6e5c5aeb1dl-m3139815916od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/1781483298,SJCA,ML81955604,FOR_SALE,PropertyType.SINGLE_FAMILY,1538 E San Fernando St,,San Jose,CA,95116,3,1,,1196,1910,9,988000,2024-05-07,154000,2009-06-10,10454,826,37.348814,-121.858677,2,0,,http://ap.rdcpix.com/b6bfbe63535e941238030389e0655a53l-m1805008552od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/2761313575,SJCA,ML81963595,FOR_SALE,PropertyType.SINGLE_FAMILY,6250  Via De Adrianna,,San Jose,CA,95120,4,2,1,1974,1973,9,2299950,2024-05-07,,,8510,1165,37.222936,-121.885616,2,0,2,http://ap.rdcpix.com/436e0f21c7a5849670a56ebd07dddd54l-m966287203od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/2001087186,SJCA,ML81963289,FOR_SALE,PropertyType.SINGLE_FAMILY,6543  Gravina Loop,,San Jose,CA,95138,4,2,1,2579,2010,9,1899000,2024-05-07,1300000,2018-07-19,4792,736,37.25111,-121.767655,2,170,2,http://ap.rdcpix.com/9f1caa160c42b06bbb6bc679354d7a3cl-m973599147od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/2428100410,SJCA,ML81964634,FOR_SALE,PropertyType.CONDOS,2908  LA Terrace Cir,,San Jose,CA,95123,2,2,,995,1985,9,749999,2024-05-07,390000,2013-03-20,,754,37.242171,-121.867034,1,595,,http://ap.rdcpix.com/cab59b6d7beab30089f6f6bb887b08ffl-m3609348976od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/1564229151,SJCA,ML81950508,FOR_SALE,PropertyType.SINGLE_FAMILY,2284  Sunrise Dr,,San Jose,CA,95124,4,2,,1370,1960,9,1649999,2024-05-07,257000,1999-06-25,6098,1204,37.258015,-121.942015,1,0,2,http://ap.rdcpix.com/9fb597825580b0ec458a882d3495d7d5l-m3647653577od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/2343259158,SJCA,ML81964621,FOR_SALE,PropertyType.CONDOS,7222  Via Sendero,,San Jose,CA,95135,2,2,,1588,1981,9,799000,2024-05-07,257500,1996-11-15,,503,37.290828,-121.748338,1,1130,1,http://ap.rdcpix.com/1a3e629521118506c511f4173759e82fl-m2891278402od-w480_h360_x2.webp?w=1080&q=75
